 beta-PtO2, orthorhombic, PDF# 43-1045          Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.303 Rnm= 1.388 L3 shell
 Pot 1 Z=78 Rmt= 1.307 Rnm= 1.400
 Pot 2 Z= 8 Rmt= 0.993 Rnm= 1.061
 Gam_ch=5.171E+00 H-L exch
 Mu= 6.451E+00 kf=2.428E+00 Vint=-1.600E+01 Rs_int= 1.494
 PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  136      icalc       2
 -----------------------------------------------------------------------
   3   8.000   6.3244    2.2502    6.45059 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
     1.0447   -3.8577    4.7040  2   8 O
     1.1972   -1.5885    3.1360  2   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1322E+01  3.5307E-05 -1.1121E+01  1.058E+00  7.1667E+00  2.4316E+00
  0.100  1.1322E+01  2.4528E-02 -1.2364E+01  1.058E+00  7.1725E+00  2.4336E+00
  0.200  1.1319E+01  4.8778E-02 -1.3558E+01  1.058E+00  7.1896E+00  2.4395E+00
  0.300  1.1315E+01  7.2482E-02 -1.4705E+01  1.058E+00  7.2177E+00  2.4492E+00
  0.400  1.1310E+01  9.5395E-02 -1.5807E+01  1.058E+00  7.2559E+00  2.4628E+00
  0.500  1.1303E+01  1.1730E-01 -1.6862E+01  1.058E+00  7.3032E+00  2.4802E+00
  0.600  1.1294E+01  1.3800E-01 -1.7873E+01  1.058E+00  7.3583E+00  2.5012E+00
  0.700  1.1284E+01  1.5737E-01 -1.8841E+01  1.058E+00  7.4198E+00  2.5259E+00
  0.800  1.1272E+01  1.7529E-01 -1.9765E+01  1.058E+00  7.4857E+00  2.5542E+00
  0.900  1.1259E+01  1.9169E-01 -2.0649E+01  1.058E+00  7.5542E+00  2.5859E+00
  1.000  1.1244E+01  2.0654E-01 -2.1492E+01  1.058E+00  7.6233E+00  2.6209E+00
  1.100  1.1228E+01  2.1983E-01 -2.2296E+01  1.058E+00  7.6909E+00  2.6592E+00
  1.200  1.1210E+01  2.3160E-01 -2.3061E+01  1.058E+00  7.7548E+00  2.7007E+00
  1.300  1.1191E+01  2.4187E-01 -2.3790E+01  1.058E+00  7.8131E+00  2.7452E+00
  1.400  1.1171E+01  2.5071E-01 -2.4482E+01  1.058E+00  7.8641E+00  2.7927E+00
  1.500  1.1149E+01  2.5819E-01 -2.5140E+01  1.059E+00  7.9062E+00  2.8432E+00
  1.600  1.1126E+01  2.6438E-01 -2.5762E+01  1.059E+00  7.9384E+00  2.8965E+00
  1.700  1.1102E+01  2.6934E-01 -2.6351E+01  1.060E+00  7.9600E+00  2.9526E+00
  1.800  1.1076E+01  2.7316E-01 -2.6906E+01  1.061E+00  7.9709E+00  3.0114E+00
  1.900  1.1050E+01  2.7589E-01 -2.7428E+01  1.062E+00  7.9716E+00  3.0730E+00
  2.000  1.1022E+01  2.7758E-01 -2.7917E+01  1.063E+00  7.9632E+00  3.1372E+00
  2.200  1.0962E+01  2.7799E-01 -2.8795E+01  1.065E+00  7.9270E+00  3.2739E+00
  2.400  1.0897E+01  2.7448E-01 -2.9538E+01  1.068E+00  7.8851E+00  3.4216E+00
  2.600  1.0827E+01  2.6694E-01 -3.0136E+01  1.071E+00  7.8709E+00  3.5810E+00
  2.800  1.0719E+01  2.4916E-01 -3.0442E+01  1.050E+00  7.9369E+00  3.7653E+00
  3.000  1.0642E+01  2.6436E-01 -3.1020E+01  1.159E+00  5.5712E+00  3.9305E+00
  3.200  1.0627E+01  2.7177E-01 -3.1868E+01  1.193E+00  5.0010E+00  4.0649E+00
  3.400  1.0612E+01  2.7286E-01 -3.2661E+01  1.215E+00  4.7179E+00  4.2021E+00
  3.600  1.0583E+01  2.6689E-01 -3.3354E+01  1.225E+00  4.5795E+00  4.3474E+00
