 beta-PtO2, orthorhombic, PDF# 43-1045          Feff8L (EXAFS)       0.1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.303 Rnm= 1.388 L3 shell
 Pot 1 Z=78 Rmt= 1.307 Rnm= 1.400
 Pot 2 Z= 8 Rmt= 0.993 Rnm= 1.061
 Gam_ch=5.171E+00 H-L exch
 Mu= 6.451E+00 kf=2.428E+00 Vint=-1.600E+01 Rs_int= 1.494
 PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  135      icalc       2
 -----------------------------------------------------------------------
   4   8.000   6.2824    2.2502    6.45059 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
     1.0447   -3.8577    1.5680  2   8 O
    -0.0000   -0.0000   -0.0000  0  78 Pt
    -1.1972    1.5885   -0.0000  2   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1322E+01  2.5338E-05 -9.6179E+00  1.058E+00  7.1667E+00  2.4316E+00
  0.100  1.1322E+01  1.7607E-02 -1.0855E+01  1.058E+00  7.1725E+00  2.4336E+00
  0.200  1.1319E+01  3.5043E-02 -1.2047E+01  1.058E+00  7.1896E+00  2.4395E+00
  0.300  1.1315E+01  5.2148E-02 -1.3197E+01  1.058E+00  7.2177E+00  2.4492E+00
  0.400  1.1310E+01  6.8774E-02 -1.4304E+01  1.058E+00  7.2559E+00  2.4628E+00
  0.500  1.1303E+01  8.4796E-02 -1.5370E+01  1.058E+00  7.3032E+00  2.4802E+00
  0.600  1.1294E+01  1.0011E-01 -1.6394E+01  1.058E+00  7.3583E+00  2.5012E+00
  0.700  1.1284E+01  1.1466E-01 -1.7378E+01  1.058E+00  7.4198E+00  2.5259E+00
  0.800  1.1272E+01  1.2837E-01 -1.8322E+01  1.058E+00  7.4857E+00  2.5542E+00
