 Structure from AMCSD, AMS_ID: 11157            Feff8L (EXAFS)       0.1
 Mineral Name: Platinum
 Journal: Crystal Structures 1, pp. 7-83 (1963)
 Authors: Wyckoff R W G
 Title1:  Second edition. Interscience Publishers, New York, New York
 Title2:  Cubic closest packed, ccp, structure
 Formula:    Pt
 SpaceGroup: Fm-3m
 # sites:    1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=78 Rmt= 1.463 Rnm= 1.499 L3 shell
 Pot 1 Z=78 Rmt= 1.477 Rnm= 1.515
 Gam_ch=5.171E+00 H-L exch
 Mu=-2.659E-01 kf=2.036E+00 Vint=-1.605E+01 Rs_int= 1.782
 PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   16      icalc       2
 -----------------------------------------------------------------------
   4  48.000   5.5481    2.8630   -0.26592 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  78 Pt       absorbing atom
    -0.0000   -1.9616   -1.9616  1  78 Pt
     1.9616   -3.9231   -1.9616  1  78 Pt
    -0.0000   -1.9616   -1.9616  1  78 Pt
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.1498E+01  6.7058E-06 -1.3122E+01  1.048E+00  6.0192E+00  2.0423E+00
  0.100  1.1497E+01  2.7370E-02 -1.4208E+01  1.048E+00  6.0260E+00  2.0446E+00
  0.200  1.1495E+01  5.3815E-02 -1.5247E+01  1.049E+00  6.0464E+00  2.0516E+00
  0.300  1.1491E+01  7.8498E-02 -1.6239E+01  1.050E+00  6.0796E+00  2.0632E+00
  0.400  1.1486E+01  1.0075E-01 -1.7186E+01  1.051E+00  6.1247E+00  2.0793E+00
  0.500  1.1479E+01  1.2009E-01 -1.8089E+01  1.053E+00  6.1803E+00  2.0998E+00
  0.600  1.1470E+01  1.3633E-01 -1.8948E+01  1.054E+00  6.2445E+00  2.1247E+00
  0.700  1.1460E+01  1.4942E-01 -1.9765E+01  1.056E+00  6.3154E+00  2.1538E+00
  0.800  1.1447E+01  1.5950E-01 -2.0541E+01  1.058E+00  6.3907E+00  2.1869E+00
  0.900  1.1433E+01  1.6680E-01 -2.1278E+01  1.060E+00  6.4679E+00  2.2240E+00
  1.000  1.1417E+01  1.7167E-01 -2.1976E+01  1.062E+00  6.5446E+00  2.2649E+00
  1.100  1.1399E+01  1.7445E-01 -2.2636E+01  1.064E+00  6.6182E+00  2.3095E+00
  1.200  1.1379E+01  1.7550E-01 -2.3259E+01  1.066E+00  6.6864E+00  2.3576E+00
  1.300  1.1357E+01  1.7518E-01 -2.3846E+01  1.067E+00  6.7472E+00  2.4092E+00
  1.400  1.1333E+01  1.7378E-01 -2.4395E+01  1.069E+00  6.7991E+00  2.4642E+00
  1.500  1.1307E+01  1.7160E-01 -2.4909E+01  1.071E+00  6.8409E+00  2.5224E+00
  1.600  1.1279E+01  1.6887E-01 -2.5386E+01  1.073E+00  6.8725E+00  2.5840E+00
  1.700  1.1250E+01  1.6582E-01 -2.5827E+01  1.074E+00  6.8944E+00  2.6488E+00
  1.800  1.1218E+01  1.6260E-01 -2.6231E+01  1.076E+00  6.9081E+00  2.7168E+00
  1.900  1.1184E+01  1.5933E-01 -2.6600E+01  1.078E+00  6.9161E+00  2.7881E+00
  2.000  1.1148E+01  1.5599E-01 -2.6932E+01  1.080E+00  6.9222E+00  2.8628E+00
  2.200  1.1069E+01  1.4855E-01 -2.7487E+01  1.083E+00  6.9487E+00  3.0227E+00
  2.400  1.0957E+01  1.3125E-01 -2.7820E+01  1.064E+00  7.0521E+00  3.2091E+00
  2.600  1.0856E+01  1.6070E-01 -2.8287E+01  1.179E+00  5.1070E+00  3.3854E+00
  2.800  1.0848E+01  1.6822E-01 -2.8900E+01  1.218E+00  4.5840E+00  3.5188E+00
  3.000  1.0839E+01  1.5616E-01 -2.9427E+01  1.240E+00  4.3387E+00  3.6557E+00
  3.200  1.0816E+01  1.2211E-01 -2.9873E+01  1.246E+00  4.2378E+00  3.8014E+00
